LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M,PS,WS50M_RANGE,WS10M_RANGE,WS50M,WS10M,T2M_RANGE
52.22961,21.01811,2015,03,01,    8.48,   -2.06,    2.61,    0.42,    3.99,   86.38,   99.74,    7.86,    5.11,    5.77,    3.81,   10.54
52.22961,21.01811,2015,03,02,    6.94,    0.53,    2.92,    3.16,    4.34,   90.98,   98.69,    5.93,    3.80,    8.59,    6.12,    6.41
52.22961,21.01811,2015,03,03,    4.66,   -1.96,    1.25,    0.74,    3.55,   84.92,   99.72,    3.41,    4.58,    9.14,    6.57,    6.62
52.22961,21.01811,2015,03,04,    3.43,   -1.94,    0.50,    4.11,    3.42,   86.77,  100.18,    8.33,    8.15,    9.23,    6.46,    5.37
52.22961,21.01811,2015,03,05,    3.85,   -3.35,   -0.09,    0.86,    3.42,   91.40,  101.18,    2.40,    1.95,    5.30,    3.52,    7.20
52.22961,21.01811,2015,03,06,    4.42,   -3.75,   -0.37,    0.09,    2.98,   81.77,  101.81,    5.10,    2.21,    4.33,    2.82,    8.17
52.22961,21.01811,2015,03,07,    6.96,   -1.14,    2.51,    0.47,    4.21,   93.82,  101.78,    4.29,    2.27,    6.34,    3.89,    8.10
52.22961,21.01811,2015,03,08,   11.87,   -0.17,    5.07,    0.00,    4.24,   78.55,  101.41,    3.55,    3.09,    7.92,    4.93,   12.04
52.22961,21.01811,2015,03,09,   11.98,    1.36,    5.29,    0.00,    3.76,   68.58,  101.17,    6.01,    4.27,    6.18,    4.09,   10.62
52.22961,21.01811,2015,03,10,   14.02,    1.01,    6.07,    0.03,    4.25,   73.11,  101.00,    3.73,    2.03,    2.62,    1.88,   13.01
52.22961,21.01811,2015,03,11,    7.00,   -0.12,    3.30,    0.45,    4.19,   87.32,  100.73,    5.27,    3.71,    6.72,    4.58,    7.12
52.22961,21.01811,2015,03,12,    8.84,   -0.24,    3.77,    0.11,    3.90,   78.93,  101.10,    3.90,    2.98,    8.86,    6.87,    9.07
52.22961,21.01811,2015,03,13,    4.29,    0.96,    2.41,    3.33,    3.91,   87.05,  101.02,    2.57,    2.90,    7.91,    5.85,    3.33
52.22961,21.01811,2015,03,14,    5.26,    1.23,    3.08,    2.14,    4.19,   89.19,  101.27,    2.23,    2.65,    8.13,    6.04,    4.03
52.22961,21.01811,2015,03,15,    9.92,    1.74,    5.04,    0.22,    4.54,   84.89,  102.21,    2.35,    2.39,    7.72,    5.75,    8.18
52.22961,21.01811,2015,03,16,   11.14,    1.90,    5.54,    0.02,    4.09,   74.25,  102.61,    4.33,    3.89,    9.10,    6.79,    9.24
52.22961,21.01811,2015,03,17,   11.65,   -1.14,    4.49,    0.00,    3.23,   63.00,  102.50,    4.00,    4.88,    9.43,    6.44,   12.79
52.22961,21.01811,2015,03,18,   10.84,   -3.60,    2.81,    0.00,    2.88,   62.85,  101.93,    4.78,    2.73,    6.22,    3.97,   14.43
52.22961,21.01811,2015,03,19,   10.33,   -3.60,    3.36,    0.00,    2.98,   62.35,  101.49,    4.59,    2.09,    3.42,    2.28,   13.93
52.22961,21.01811,2015,03,20,   10.67,   -2.87,    3.98,    0.00,    3.34,   66.54,  100.90,    4.00,    2.11,    5.48,    3.52,   13.55
52.22961,21.01811,2015,03,21,   12.42,    0.77,    5.36,    0.08,    3.80,   68.05,   99.91,    4.01,    3.60,    6.25,    4.28,   11.64
52.22961,21.01811,2015,03,22,    3.79,   -3.67,   -0.07,    0.37,    2.14,   56.90,  100.90,    8.51,    6.97,    6.79,    5.33,    7.45
52.22961,21.01811,2015,03,23,    7.66,   -4.45,    0.82,    0.00,    2.03,   50.59,  100.63,    5.99,    3.70,    5.47,    3.61,   12.11
52.22961,21.01811,2015,03,24,   14.86,   -2.06,    6.13,    0.00,    4.08,   69.01,   99.75,    3.41,    3.93,    7.30,    4.53,   16.92
52.22961,21.01811,2015,03,25,   16.69,    3.11,    9.72,    0.00,    5.35,   70.90,   99.82,    8.85,    4.61,    5.23,    2.91,   13.59
52.22961,21.01811,2015,03,26,   17.10,    7.33,   10.83,    1.86,    6.66,   81.68,   99.51,    5.46,    4.88,    7.02,    4.70,    9.77
52.22961,21.01811,2015,03,27,   17.53,    3.83,   10.53,    7.46,    6.98,   87.27,   99.50,    8.40,    6.81,    4.97,    3.83,   13.69
52.22961,21.01811,2015,03,28,    8.02,    1.49,    4.41,    4.50,    4.63,   88.66,  100.07,    5.07,    4.55,    5.61,    4.16,    6.53
52.22961,21.01811,2015,03,29,   12.30,    0.51,    6.89,    0.98,    4.79,   76.47,   99.08,    7.87,    5.93,    5.24,    3.87,   11.79
52.22961,21.01811,2015,03,30,    9.53,    3.14,    7.04,    5.48,    5.19,   80.78,   97.67,    6.50,    6.02,   11.79,    8.93,    6.39
52.22961,21.01811,2015,03,31,    5.67,    2.06,    3.80,    4.85,    4.31,   84.19,   97.88,    5.82,    5.64,   10.17,    7.76,    3.61
